symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
INFY,2018-05-16 00:00:00+00:00,17.55,17.65,17.51,17.59,2499735,7.6852914556,7.7290822901,7.6677751218,7.7028077894,4999470,0.0,1.0
INFY,2018-05-17 00:00:00+00:00,17.36,17.49,17.26,17.49,3976867,7.60208887,7.6590169549,7.5582980355,7.6590169549,7953734,0.0,1.0
INFY,2018-05-18 00:00:00+00:00,17.36,17.45,17.32,17.37,3880109,7.60208887,7.6415006211,7.5845725362,7.6064679535,7760218,0.0,1.0
INFY,2018-05-21 00:00:00+00:00,17.39,17.42,17.25,17.38,3737549,7.6152261204,7.6283633707,7.5539189521,7.6108470369,7475098,0.0,1.0
INFY,2018-05-22 00:00:00+00:00,17.52,17.61,17.4,17.45,4549493,7.6721542052,7.7115659563,7.6196052038,7.6415006211,9098986,0.0,1.0
INFY,2018-05-23 00:00:00+00:00,17.81,17.9,17.28,17.36,10796575,7.7991476253,7.8385593763,7.5670562024,7.60208887,21593150,0.0,1.0
INFY,2018-05-24 00:00:00+00:00,18.24,18.5,17.88,17.88,13178494,7.9874482137,8.1013043834,7.8298012094,7.8298012094,26356988,0.0,1.0
INFY,2018-05-25 00:00:00+00:00,18.32,18.35,18.16,18.2,4357780,8.0224808813,8.0356181316,7.952415546,7.9699318799,8715560,0.0,1.0
INFY,2018-05-29 00:00:00+00:00,18.0,18.11,17.88,18.05,6254033,7.8823502108,7.9305201288,7.8298012094,7.9042456281,12508066,0.0,1.0
INFY,2018-05-30 00:00:00+00:00,18.14,18.14,17.92,18.06,5033447,7.9436573791,7.9436573791,7.8473175432,7.9086247115,10066894,0.0,1.0
INFY,2018-05-31 00:00:00+00:00,18.19,18.31,18.16,18.18,5804857,7.9655527964,8.0181017978,7.952415546,7.961173713,11609714,0.0,1.0
INFY,2018-06-01 00:00:00+00:00,18.29,18.34,18.22,18.27,3044696,8.0093436309,8.0312390482,7.9786900468,8.000585464,6089392,0.0,1.0
INFY,2018-06-04 00:00:00+00:00,18.44,18.46,18.35,18.37,2371451,8.0750298827,8.0837880496,8.0356181316,8.0443762985,4742902,0.0,1.0
INFY,2018-06-05 00:00:00+00:00,18.36,18.39,18.18,18.3,3035242,8.0399972151,8.0531344654,7.961173713,8.0137227144,6070484,0.0,1.0
INFY,2018-06-06 00:00:00+00:00,18.74,18.74,18.42,18.46,3208617,8.2064023862,8.2064023862,8.0662717158,8.0837880496,6417234,0.0,1.0
INFY,2018-06-07 00:00:00+00:00,18.57,18.8,18.56,18.73,3023782,8.1319579675,8.2326768869,8.1275788841,8.2020233027,6047564,0.0,1.0
INFY,2018-06-08 00:00:00+00:00,18.73,18.8,18.56,18.58,3615319,8.2020233027,8.2326768869,8.1275788841,8.136337051,7230638,0.0,1.0
INFY,2018-06-11 00:00:00+00:00,18.75,18.81,18.64,18.73,2572960,8.2107814696,8.2370559703,8.1626115517,8.2020233027,5145920,0.0,1.0
INFY,2018-06-12 00:00:00+00:00,19.0,19.06,18.77,18.8,3733134,8.3202585559,8.3465330566,8.2195396365,8.2326768869,7466268,0.0,1.0
INFY,2018-06-13 00:00:00+00:00,18.82,19.1,18.81,19.0,4798799,8.2414350538,8.3640493904,8.2370559703,8.3202585559,9597598,0.0,1.0
INFY,2018-06-14 00:00:00+00:00,18.16,18.49,18.15,18.49,5523610,8.1552384889,8.3034339019,8.1507477188,8.3034339019,11047220,0.463163,1.0
INFY,2018-06-15 00:00:00+00:00,18.73,18.77,18.56,18.59,5640198,8.4112123842,8.4291754645,8.3348692926,8.3483416029,11280396,0.0,1.0
INFY,2018-06-18 00:00:00+00:00,18.44,18.55,18.41,18.5,5443893,8.2809800515,8.3303785225,8.2675077412,8.307924672,10887786,0.0,1.0
INFY,2018-06-19 00:00:00+00:00,18.2,18.3,18.15,18.3,7693494,8.1732015692,8.2181092702,8.1507477188,8.2181092702,15386988,0.0,1.0
INFY,2018-06-20 00:00:00+00:00,18.16,18.27,18.14,18.22,3679053,8.1552384889,8.2046369599,8.1462569487,8.1821831094,7358106,0.0,1.0
INFY,2018-06-21 00:00:00+00:00,18.23,18.27,18.16,18.23,3727815,8.1866738795,8.2046369599,8.1552384889,8.1866738795,7455630,0.0,1.0
INFY,2018-06-22 00:00:00+00:00,18.72,18.75,18.3,18.39,8158227,8.4067216141,8.4201939244,8.2181092702,8.258526201,16316454,0.0,1.0
INFY,2018-06-25 00:00:00+00:00,18.64,18.71,18.57,18.66,4620439,8.3707954533,8.402230844,8.3393600627,8.3797769935,9240878,0.0,1.0
INFY,2018-06-26 00:00:00+00:00,18.72,18.75,18.55,18.6,4225669,8.4067216141,8.4201939244,8.3303785225,8.352832373,8451338,0.0,1.0
INFY,2018-06-27 00:00:00+00:00,18.66,18.79,18.49,18.54,6909042,8.3797769935,8.4381570047,8.3034339019,8.3258877524,13818084,0.0,1.0
INFY,2018-06-28 00:00:00+00:00,19.0,19.06,18.63,18.66,7970533,8.5324631767,8.5594077972,8.3663046832,8.3797769935,15941066,0.0,1.0
INFY,2018-06-29 00:00:00+00:00,19.43,19.51,19.13,19.15,9607426,8.7255662907,8.7614924514,8.5908431879,8.5998247281,19214852,0.0,1.0
INFY,2018-07-02 00:00:00+00:00,19.61,19.65,19.38,19.39,4876849,8.8064001523,8.8243632327,8.7031124402,8.7076032103,9753698,0.0,1.0
INFY,2018-07-03 00:00:00+00:00,19.69,19.86,19.61,19.8,3939150,8.8423263131,8.9186694047,8.8064001523,8.8917247841,7878300,0.0,1.0
INFY,2018-07-05 00:00:00+00:00,19.34,19.37,18.91,18.98,10897586,8.6851493598,8.6986216701,8.4920462458,8.5234816365,21795172,0.0,1.0
INFY,2018-07-06 00:00:00+00:00,19.15,19.22,19.03,19.12,6713250,8.5998247281,8.6312601187,8.545935487,8.5863524178,13426500,0.0,1.0
INFY,2018-07-09 00:00:00+00:00,19.4,19.44,19.23,19.26,6872749,8.7120939804,8.7300570608,8.6357508888,8.6492231991,13745498,0.0,1.0
INFY,2018-07-10 00:00:00+00:00,19.78,19.88,19.28,19.45,8931978,8.8827432439,8.9276509449,8.6582047393,8.7345478309,17863956,0.0,1.0
INFY,2018-07-11 00:00:00+00:00,19.76,19.79,19.53,19.53,7996245,8.8737617037,8.887234014,8.7704739916,8.7704739916,15992490,0.0,1.0
INFY,2018-07-12 00:00:00+00:00,20.01,20.09,19.48,19.54,14167752,8.9860309561,9.0219571168,8.7480201411,8.7749647617,28335504,0.0,1.0
INFY,2018-07-13 00:00:00+00:00,19.42,19.63,19.1,19.12,13611994,8.7210755206,8.8153816925,8.5773708776,8.5863524178,27223988,0.0,1.0
INFY,2018-07-16 00:00:00+00:00,19.6,19.77,19.54,19.73,7385907,8.8019093823,8.8782524738,8.7749647617,8.8602893935,14771814,0.0,1.0
INFY,2018-07-17 00:00:00+00:00,19.9,19.94,19.52,19.57,6067689,8.936632485,8.9545955654,8.7659832215,8.788437072,12135378,0.0,1.0
INFY,2018-07-18 00:00:00+00:00,19.68,19.82,19.66,19.76,2916912,8.837835543,8.9007063243,8.8288540028,8.8737617037,5833824,0.0,1.0
INFY,2018-07-19 00:00:00+00:00,19.71,19.81,19.44,19.44,7497497,8.8513078533,8.8962155542,8.7300570608,8.7300570608,14994994,0.0,1.0
INFY,2018-07-20 00:00:00+00:00,20.01,20.15,19.89,19.9,5197303,8.9860309561,9.0489017374,8.932141715,8.936632485,10394606,0.0,1.0
INFY,2018-07-23 00:00:00+00:00,20.15,20.18,19.99,20.05,3436740,9.0489017374,9.0623740477,8.9770494159,9.0039940364,6873480,0.0,1.0
INFY,2018-07-24 00:00:00+00:00,20.39,20.42,20.26,20.35,4276631,9.1566802196,9.1701525299,9.0983002084,9.1387171392,8553262,0.0,1.0
INFY,2018-07-25 00:00:00+00:00,20.58,20.68,20.41,20.44,3765759,9.2420048514,9.2869125523,9.1656617598,9.1791340701,7531518,0.0,1.0
